学校-老师	课程名称	课程内容与评价,,,,,,
"9013-电子科技大学-黄廷祝	线性代数与空间解析几何（一）	""概述：国家教学名师及国家教学团队打造的MOOC.其国家精品资源共享课及十二五国家级规划教材在全国广泛采用.启发式、深入浅出、重能力培养的显著特色使抽象内容变得生动和容易",让你轻松愉快学习.为开阔眼界、激发兴趣、了解前沿应用,搭建数学基础与前沿桥梁,准备了国家精品视频公开课“线性代数与信息科技”.,,,
"评价：@陌花缓归 你可真是牛逼，985高校在你眼里不是名校，你起码得是麻省理工的学生？你最喜欢什么就说自己最喜欢，扯什么mooc最好？对你这二三本是好，对一本，211，985学生来说就不够好。为科大感到不平，免费公开了如此核心的研究型课程，还被不知好歹傻子不喜。。当然，课程的分值是最高的4.9分，说明大部分人有较佳的欣赏能力。""",,,,,,
"8013-同济大学-彭震伟	城市总体规划	""概述：一座城市以什么样的面目呈现在你眼前，你所感知的城市为什么会呈现这样的特征，今后的城市将如何发展，这些都与城市总体规划息息相关。城市总体规划MOOC课程试图对城市总体规划的内容进行系统地介绍。",,,,,,
"评价：我是一名二本的人文地理与城乡规划专业的学生，学校的教学不注重实践，知识拓展也十分有限。在这个课程中我更多的了解了总体规划的知识，对于我的帮助不小，感觉有些不足的是，相关课件内容太简化或者没有这对于加深学习造成了一定影响。最后还是非常感谢各位老师的教授。""",,,,,,
"9002-南京大学-罗新炼	趣谈天体物理	""概述：让我们一起探寻天体表面现象背后的深层原因，解开宇宙的神秘面纱。 本课程具备一定的挑战性，专为那些希望快速入门高阶天文学和天体物理学的学习者设计。 自2019年起，课程结合南京大学有训书院一年级《初等数理天文》课程与物理学院三年级、匡亚明学院二年级《大学天文学》课程，开展了混合式教学，积累了丰富的教学经验。 在这门课上，不仅能让您深入理解天文学和天体物理学的精髓，还能结识志同道合的伙伴，共同探索宇宙的奥秘。",,,,,,
"评价：罗老师讲得很好！""",,,,,,
"9005-哈尔滨工业大学-张锋	机械基础实景教学（机械设计）	""概述：机械基础实景教学（机械设计），把课堂搬到了实验室，通过教师的讲解，实景操作，共同完成”机械组成及典型机械零部件认识与分析实验”等6个实验。学习实验的原理，操作过程及数据的处理方法。同学们，请跟我来，一起走进哈工大机械基础实验中心，感受机械的魅力，发现机械之美！",,,,,,
"评价：非常直观，实验器材设计也非常合理，可以看出哈工大在工业方面的教研能力还是很强大的""",,,,,,
"8015-华东师范大学-戴浩晖	数学分析（二）	""概述：“数学分析”是一门重要的数学基础课程。本课程重视数学理论的完整性和逻辑性，对学生数学思想的形成，理性思维的训练，后继课程的学习都有着及其重要的意义；是学生今后学习数学，进行数学理论研究，从事数学应用和数学教学的理论基础。",,,,,,
"评价：数学系的三高即高等代数、数学分析、高等几何，是进一步学习后继数学专业课程的理论基础，特别是数学分析内容系统庞大，数学思想深刻，数学方法和技巧之精妙，很难通过个人的短暂学习达到熟能生巧的境界。华东师范大学数学系老师以及慕课团队精心打造的《数学分析》系列（1-6）课程是非常值得认真学习的。不论是视频课件的内容，还是课后试题的安排和选取都是经过认真探究的。学数学如果只看课件而不做课后问题，就好像入宝山而空返，把最重要的部分忽略了。据说，当年苏步青院士微积分题就做...""",,,,,,
"8009-大连理工大学-陈廷国	结构力学——超静定结构力学	""概述：你是否在为力学概念不清晰而烦恼？你是否觉得结构力学很枯燥乏味？你想不想用最短的时间收获最多的结力知识？来加入我们的课程吧！这里有大连理工大学的辽宁省教学名师陈廷国、全国结构力学青年教师讲课竞赛第一名曲激婷为你保驾护航！让我们一起开启美妙的结构力学之旅！",,,,,,
"评价：个人认为，讲的最详细，最好的结构力学。非常适合初次接触结构力学的学生。""",,,,,,
"13001-北京大学-汪琼	教师如何做研究	""概述：教学研究是教师专业化成长的工具。在这门课程中，我们将通过对六个教学研究案例的全面解剖分析，介绍六种常见教学研究问题可以采用的研究方法和研究过程。这六个案例，如同六道菜谱，连同其中所采用的研究工具，将助力大中小学的教师，开展解决教学问题的科学研究。",,,,,,
"评价：这是我非常喜欢的一门课程，我感到这门课，对我们许多普通的中学教师来说，非常有用。 我学习了这门课后，感觉到自己的研究理论、实践水准有了长足的进步。 我感到这个课的内容、形式及授课方式都很好，特别是最后总体成绩的计分方法，觉得很科学：既能反映学员平时的学习成绩，又能体现最后的考试成绩，更能调动广大学员学习这门课的积极性。 我再次感谢，特别要感谢授课教师--汪琼教授! 盐城市大丰区草堰中学 陈...""",,,,,,
"13001-北京大学-汪琼	翻转课堂教学法	""概述：近几年，翻转课堂教学法（Flipped Classroom）在国内外很受热捧，从基础教育到高等教育，涌现出不少成功案例。但也有不少老师表示：自己的课堂翻转不过来。为此我们设计了这门课程，希望揭秘翻转课堂教学法背后的教学原理，分享成功实施的经验和秘诀。本课程将与您携手打造“专属于您”的翻转课堂。",,,,,,
"评价：学院举行了几次这一方面的讲座，虽然我听了，但是没有听清楚所讲的内涵，这一次要好好跟上名师学一下，争取应用到自己的烹饪课堂。""",,,,,,
"68001-中国石油大学（华东）-张卫东	中外石油文化	""概述：本课程是面向全社会开设的公开课。课程的使命：走近石油大咖，感受创业激情；体会石油精神，激荡创新动力；融合世界智慧，成就卓越未来。 ——课程团队",,,,,,
"评价：非常棒的课程。""",,,,,,
"1001176001-爱课程-汪琼	改进合作学习	""概述：合作学习是大中小学都在提倡的一种学习组织方式，在实施过程中，难以一帆风顺。出现了什么问题？为什么有这个问题？怎样更好地解决？这门课程将分享国内外有关合作学习的诸多研究发现，帮助你深刻理解合作学习成败的原因。改进合作学习过程，让你的学生爱上合作、胜任合作。",,,,,,
"评价：十分喜欢mooc学习，已经由10个合格以上的证书了，还会继续！""",,,,,,
"13002-浙江工业大学-王万良	人工智能导论	""概述：入门级人工智能课程，含有人工智能虚拟仿真实验，可以帮助初学者实现“零基础”学习人工智能，了解什么是人工智能；人工智能研究什么；有哪些人工智能的算法与模型；人工智能最新的发展与应用会怎样影响我们的社会、工作和生活。本课程是由国家级教学名师浙江工业大学王万良教授带领的教学团队主讲的。",,,,,,
"评价：书上有些重点内容一笔带过，简单内容反复讲""",,,,,,
"9013-电子科技大学-陈瑜	电子技术应用实验1（数字电路基础实验）	""概述：让我们一起进入数字电路实验的世界！让课程带你循序渐进的学习常用仪器使用技巧，通过中小规模集成电路了解数字电路基础模块的设计与应用，从一个电路、一根连线、一次测试、一次解决问题开始进入数字电路设计的大门！",,,,,,
"评价：建议取消互评 宁愿在实验报告里面加思考题也别互评了 被乱互评根本找不到地说理""",,,,,,
"8007-北京理工大学-胡海云	大学物理—近代物理	""概述：量子力学和相对论统称为近代物理学，是20世纪物理学最伟大的发现，没有它们就不会有今天的计算机、激光、核能、纳米、宇宙探索等各种各样的高新技术。本课程认真贯彻以学生为主体、教师为主导的教育理念，遵循学生远程学习的认知规律，体现“导学”、“督学”、“自学”、“促学”的近物教学设计思想。",,,,,,
"评价：看完一节课，立刻关注了北京理工其他所有物理课程""",,,,,,
"9003-复旦大学-蒋玉龙	半导体物理与器件原理	""概述：这是一门专门为从零开始学习集成电路知识学生开设的课程，它基本涵盖了微电子学专业硕博士研究生入学专业考试的主要内容，是系统学习集成电路工艺和设计的先修课，也是一门充分体现复旦大学微电子科学与工程专业教学特色的课程。",,,,,,
"评价：虽然在半导体行业很多年了，因为非科班出身对自己提升很大。衷心感谢""",,,,,,
"8007-北京理工大学-缪劲松	大学物理典型问题解析—近代物理	""概述：接受名师点拨，迎接物理挑战，享受成功喜悦。本课程由北理工大学物理教学团队策划设计，与《大学物理——近代物理》MOOC同步开设。注重物理基本概念，强调基本训练，贴近应用实际，激发学生兴趣，建立高效学习模式。通过讲解典型问题，帮助学生建立物理模型，把握解题的思路与方法，提高学习效果。",,,,,,
"评价：很好的大物课""",,,,,,
"1001195001-暨南大学-戴霞	国际私法	""概述：该课程内容丰富、通俗易懂、深入浅出，不仅有基本的理论介绍，也注重对学生运用国际私法原理处理涉外民商事务的能力和技能的培养。该课程适合所有法律专业的本科生、双学位、法律硕士、函授等各层次的学生学习，也适合从从事与涉外业务有关的人员学习。同时也可供高校国际私法授课教师参考。",,,,,,
"评价：该课程很好地诠释了“照本宣科”。""",,,,,,
"8009-大连理工大学-王丽丽	管理学原理	""概述：《管理学原理》是管理学类各个专业的一门专业基础课。本课程主要面向具有一定的自然科学和社会科学基础知识，渴望得到管理知识系统培训的学习者。",,,,,,
"评价：听了很多的管理学慕课，唯独感觉这堂课更容易听进去。真的感谢大工的教师团队对慕课的认真态度，讲的非常细，让人感觉在真实的大学课堂当中。个人认为不亚于甚至超出同平台的一些国家精品课程。""",,,,,,
"1001330001-首都经济贸易大学-马力	创业团队建设与管理	""概述：本课程是由全国高等学校学生信息咨询与就业指导中心和爱课程网联合建设的创业类慕课，项目编号：CY16204。本课程突出大学生的创新思考、在创新基础上的创业思考，在创业过程中对团队管理的思考与认知，旨在通过围绕创业团队的有关学习与训练，提高其创新创业能力与素质。",,,,,,
"评价：必须要证书才能认证创新创业学分吗 必须要证书才能认证创新创业学分吗 必须要证书才能认证创新创业学分吗""",,,,,,
"8007-北京理工大学-刘兆龙	大学物理典型问题解析—力学与热学	""概述：细说典型题目，展示物理思维，助力成功学习。本课程由北京理工大学大学物理教学团队策划制作，配合我校《大学物理——力学与热学》MOOC开设。课程注重基本概念，强调基本训练，贴近应用实际，激发学习兴趣。通过精讲典型题目，帮助学生学会建立物理模型，把握解题思路与方法，提高学习效果。",,,,,,
"评价：老师讲述的内容炒鸡棒。 1. 最关键的知识要点 2.全面的一一对应的题目 3.总结环节中讲述了这道题温故了哪些知识点 4.有变式和拓展。""",,,,,,
"1001176001-爱课程-沈书生	信息化领导力	""概述：本课程从学校工作的具体场景出发，围绕工作规划、课堂教学、文化建设、师生成长等方面，与学员一起探讨如何构建信息化领导力，把握教育数字化转型背景下的信息化领导力变革，提升学校各方面工作的效能。课程中，既有理论层面的探讨，亦有学校信息化应用的典型案例及解析，还有具体的信息化工具的应用指导，注重信息化对学校各方面工作的助力。",,,,,,
"评价：课程很好，学习有力量""",,,,,,
"104001-华中农业大学-王运	无机及分析化学（下）	""概述：本课程是农科院校重要的基础课程，是后续学习有机化学、物理化学与胶体化学以及专业课程的重要基础，也是全国农科考研的重要参考课程。学好本课程，可以提高利用化学知识解决工农业生产和生活中实际问题的能力。同时，对提高综合素质、培养创新精神和创新意识具有重要作用。",,,,,,
"评价：老师普通话更标准就好了""",,,,,,
"74001-北京交通大学-朱晓宁	集装箱运输与多式联运	""概述：本课程是交通运输类和物流工程的专业课。通过课程学习，可以了解集装箱运输与多式联运发展动态，掌握集装箱运输与多式联运基础理论和方法，对集装箱多式联运过程所涉及的各方面知识有一个全面的、整体性的了解，为从事相关工作提供理论和方法支撑。本课程面向高校和社会学习者全面开放，欢迎大家学习！",,,,,,
"评价：终于找到一门集装箱运输与多式联运的课程了，内容非常详实，希望学完有所收获""",,,,,,
"9004-天津大学-高文志	汽车发动机构造	""概述：欢迎参加汽车发动机构造课程的学习！",,,,,,
7444,,,,,,
"评价：希望能有习题答案详解""",,,,,,
"9004-天津大学-刘习军	工程振动测试技术	""概述：工程振动测试技术是解决工程振动问题的重要手段之一，本课程力求用最简单的语言、动画和实验结果录像讲清基本概念，以通俗易懂为原则、以实用型为教学目的，通过学习可使学习者初步掌握解决振动问题的实验方法，欢迎大家在线学习。",,,,,,
"评价：MOOC 中国教育的又一进步，让稀缺的优秀教育资源能分享出来！非常好！""",,,,,,
"8014-国防科技大学-刘永录	大学物理-相对论	""概述：国防科学技术大学《大学物理学》包括力学、热学、电磁学、振动波动和波动光学、相对论和量子物理等六个模块。为达到更好授课效果，本课程包含了多个教学演示实验。教学内容重点放在物理图像、物理思想、物理方法的教学，突出教学内容的现代化改革，充分反映以相对论、量子论为核心的20世纪新物理学。",,,,,,
"评价：。。。。好""",,,,,,
"8007-北京理工大学-李英兰	大学物理典型问题解析—振动、波动与光学	""概述：本课程由北理工大学物理教学团队策划设计，与《大学物理——振动、波动与光学》MOOC同步开设。注重物理基本概念，强调基本训练，贴近应用实际，激发学生兴趣，建立高效学习模式。通过讲解典型问题，帮助学生建立物理模型，把握解题的思路与方法，提高学习效果。",,,,,,
"评价：老师讲得很好，但是希望以后的课程不要这么快关闭，复习中，老师关闭课程好难受""",,,,,,
"9007-西安交通大学-朱京平	光电子学（二）	""概述：光电子与微电子共同构成21世纪信息技术两大支柱。课程通用性强，兼顾完整性与新颖性，力图脉络清晰、深入浅出、系统全面地介绍光电子有关双基知识与物理思路。课程以国内最受欢迎的国家级规划教材为蓝本，且信息量更大，更深入浅出、形象生动，自测、演示性实验、总结回顾等环节更利于知识巩固与增强。",,,,,,
"评价：感觉老师讲的非常好""",,,,,,
"9010-武汉大学-黄如花	信息检索	""概述：面对日益纷繁复杂的网络信息，你是否感觉检索和获取信息有些力不从心？《信息检索》课程从实际操作出发，讲授如何精准、快捷地获取你想要的资源，培养信息素养，使你能够从容面对信息爆炸的挑战。无论是生活、学习、工作还是科研，你都能从本课程中找到对应的信息检索的工具与方法，从而终身受益。",,,,,,
"评价：1、知识比较陈旧，推荐的很多网站找不到或打不开，推荐的一些网站的相关板块也找不到。 2、没有老师或助教进行维护，学员的疑问没人解答。 想学信息检索课程的同学，建议去学习最近新上架的慕课。""",,,,,,
"9013-电子科技大学-钟洪声	电路分析基础	""概述：电，是大自然的基本规律，是上帝给人类的一座金山。近两百年来，大量宝藏被发掘出来，电报、电灯、电话、电视、电脑、网络、手机、机器人等。一大批寻宝人青史留名，伏特、莫尔斯、麦克斯韦、爱迪生、贝尔等。还有丰富的宝贝等待你去寻找。本课程是电子科学与技术的入门课程，是你进山寻宝的敲门砖。",,,,,,
"评价：那个和麻省比的兄弟，你是睿智吧。要是这个视频都做的这么好，那我们本科生还要听课吗，那我高中辛辛苦苦考个双一流有用吗，肯把自己的东西拿出来就不错了，还要求那么多，你行你上。""",,,,,,
"35001-西南交通大学-李成坚	西方现代化视野下的英美文学	""概述：《西方现代化视野下的英美文学》以西方经典文学文本为例证，回溯西方现代化的历史发展轨迹，揭示西方现代化进程中的种种社会问题，以助学习者以历史的维度、比较的方法理解我国的现代化发展成就。课程素材丰富、形式生动，是一门视角独特的人文通识课程，适应于社会学习者和在校大学生。",,,,,,
"评价：这门课的老师让我更进一步地了解了外国文学作品与其所处的时代背景的密切关系，也让我开始思考中国现代化进程中能否避免一些西方国家犯过的错误，这是一门非常好的课程。""",,,,,,
"8006-湖南大学-何人可	设计的力量	""概述：在全球化时代的语境中，设计产生的巨大价值更是深刻地影响着当代经济、文化与社会发展，成为展现一个国家现代文明程度和科技发展水平的标志。",,,,,,
"评价：我是一个生物工程专业的学生，很喜欢画画和设计，但父母不支持就没有走这条路，谢谢有这么一个机会能学习到这些知识。""",,,,,,
"99001-长沙学院-荣斌	广播节目播音与主持	""概述：知名专家、资深主播、硕导、全国首届优秀法制节目主持人、全国百佳“中华红声”、中国文明网“文明之声传讲人”、国家通用语言文字推广普及先进个人、全国电商行指委网络与新媒体专委会副主任、中国语文现代化学会理事、湖南省电视艺术家协会理事、湖南省播音主持研究会副会长荣斌教授担纲主讲，15家主流媒体机构支持，32位专家和主播指导！课程微视频获湖南首届、第二届微课大赛二等奖，湖南高校信息化教学竞赛一等奖；2019年湖南信息化教学优秀典型案例，2020年湖南省高校“十大”育人示范案例；实训作品入选学习强国、央视频；全国高校“语言扶贫振兴乡村”的开拓者，新疆吐鲁番、湘西龙山、郴州汝城、湖南炎陵、益阳安化、怀化辰溪、张家界慈利等数十万人以上获益，国家民政部官网、教育部官方平台“中国教育发布”、人民日报、中国青年报、湖南日报、湖南卫视、光明网、中新网、红网等数十家媒体平台予以报道；获全国美育成果奖、省教学成果奖等教学奖励。",,,,,,
"评价：天哪 荣老师讲的比我大学老师还好~ 荣老师好帅啊 我可以~ 有人觉得荣老师像黄轩嘛？""",,,,,,
"57001-北京邮电大学-纪红	现代通信技术	""概述：人类文明和社会的传承及进步，与通信技术和信息网络的发展密不可分。信息获取和传递是如何实现的？不同国家和地区的人们之间怎样共享消息？小小的手机为何能进行语音、图像和视频等不同应用的传输？通信技术的演进还会给我们的生活带来什么变化？欢迎跟随本课程一起开启神秘通信世界的探索之旅。",,,,,,
"评价：相对于偏于公式化的通信原理和通信网，偏于枯燥的射频微波技术，我们的现代通信技术堪称最富有魅力的学科。在我邮名师的引领下，本人受益匪浅，并以一枚北邮通信人而自豪~祝我邮现通mooc越做越好，能够帮到更多通信人~""",,,,,,
"8014-国防科技大学-刘永录	大学物理-振动、波动和波动光学	""概述：国防科学技术大学《大学物理学》包括力学、热学、电磁学、振动波动和波动光学、相对论和量子物理等六个模块。为达到更好授课效果，本课程包含了多个教学演示实验。教学内容重点放在物理图像、物理思想、物理方法的教学，突出教学内容的现代化改革，充分反映以相对论、量子论为核心的20世纪新物理学。",,,,,,
"评价：看过的视频就不能再看了，这点很不好""",,,,,,
"35001-西南交通大学-李芾	高速铁路动车组技术	""概述：本课程介绍了我国最具有代表性的CRH系列动车组的基本结构组成、总体及走行部、牵引及制动、列车网络控制、车辆装备及旅客信息系统、列控系统、运用检修等的结构和工作机理，说明系统性能的影响因素和设计方法，描述相关动车组的特点，提出分析和解决问题的思路、方法与步骤。",,,,,,
"评价：老师很棒，希望能去贵校念书！！！""",,,,,,
"125002-桂林电子科技大学-董荣胜	计算机科学导论	""概述：本课程（“计算机科学导论”MOOC课程）是首批国家级线上一流课程，本课程将课程的结构建立在计算学科认知模型的基础上，并以计算机科学的内容为背景，借助大量案例，在学科思想与方法层面，对学生认知计算学科进行导引，着力提高学生在复杂问题求解，系统设计，以及人类行为理解方面的计算思维能力。",,,,,,
"评价：我是从通信工程转到计算机的本科生。本学期有幸学习此课程，受益匪浅，感受良多。 在EE时虽成绩和竞赛都名列前茅，但在学习的过程中却感到，虽因兴趣自学编程等CS相关知识，却始终觉得不得要领，仅仅是掌握基本工具。 有幸学习本课程后，才发现自己一直缺少的是计算思维和对CS学科完整清晰的认识，这使我在学习后续课程知识时常一叶障目或不知所云。我还曾疑惑为何CS相比EE晚学C语言等编程课程，学习本课程才明白，语言等仅仅是可临时习得的工具，计算思维的培养才是在本领域长久立...""",,,,,,
"1001239001-南京农业大学-强胜	植物学	""概述：南京农业大学植物学课程主要为适用于线上线下混合式自主学习的教学模式而设计建设的，其课时安排、教学手段、课程内容、学习资源均便于网络自主学习。也可以应用于远程教学、辅助教学、自修提高等。其丰富的教学资源和精美的植物图片也可以作为公众欣赏和了解植物的窗口。该课程是首批国家精品课程、国家精品资源共享课程、国家精品在线开放课程。自2001年开始已经连续18年持续进行植物学线上线下混合式自主学习的教学模式的改革试验与示范。课程建设过程中先后获得国家教学成果二等奖、江苏省教学成果特等奖及一等奖（2项）以及教材、多媒体和网络课程奖等10余项。现任课程负责人为强胜教授，国家教学名师奖获得者和入选国家万人计划教学名师。",,,,,,
"评价：有的地方太简略，问题重复。""",,,,,,
"8008-吉林大学-王建华	汽车行走的艺术	""概述：汽车是流淌着马车基因、蕴含着人类科技结晶的钢铁怪侠，它改变了我们的生存方式和价值观念，成为动力与时尚、驾驭与征服、个性与身份的代表！从发明到发展，它凝聚了无数人的智慧与创新！作为改变世界的机器，汽车实现人类自由行走的亘古梦想，使全球工业文明如虎添翼，是人类行走艺术的杰出代表！",,,,,,
"评价：课程内容挺丰富的，但这种通识性的课程，这么一本正经口述、架着姿势的讲课方式，实在是不能提起学生的兴趣，就算是专业课，也应该看图说话，不用这么像站军姿吧""",,,,,,
"6001-浙江大学-翁恺	程序设计入门——C语言	""概述：C语言是古老而长青的编程语言，它具备了现代程序设计的基础要求，它的语法是很多其他编程语言的基础，在系统程序、嵌入式系统等领域依然是无可替代的编程语言，在各类编程语言排行榜上常年占据前两名的位置。 本课程是零基础的编程入门课，是后续的操作系统、编译原理、体系结构等课程的基石。",,,,,,
"评价：翁老师的C语言入门课基本上可以说是中M最好的C语言入门课，不接受反驳。""",,,,,,
"9002-南京大学-陈昌凯	心理学与生活	""概述：心理学很神秘？你会发现，只要有人的地方，就有心理学！ 心理学很深奥？你会发现，似乎每个人都是大众心理学家，谁都可以说点“心理学”。 我们生活中处处都是心理学！但这门课程却要告诉你，我们常常挂在嘴边的“心理学”绝大部分是错的，剩下的一小部分也是不全面的。",,,,,,
"评价：首先，老师讲课很有条理，知识点解释得很生动，通俗易懂；其次，每堂课的最后总结很有深意，很喜欢；还有，讲到成长这一块的时候，讲到您的小孩子，感觉老师家庭很幸福美满，令人艳羡。在讲到关于爱情这一块的时候，我还上网搜索了，发现网上很多教人利用这些心理现象达到恋爱的，比如首因效应、晕轮效应、吊桥理论、多看效应等等，第一反应竟然不是要学习怎么利用来恋爱，而是怎么规避这些效应带来的偏见，看来真的是不打算脱单了。。。/大哭""",,,,,,
"110001-北京科技大学-张敬源	大学英语自学课程（上）	""概述：世界那么大，想出去看看，不会英语怎么行？带字典，太沉啦！请翻译，太土豪！ 英语那么难，没有老师怎么行？去上课，没时间！请家教，太奢侈！ 你有木有感到压（hao）力（wu）山（ban）大（fa）（怒摔 QAQ~~） 别怕，贝壳（北科）来帮忙！ 理解课文学习词汇分析难句品味文化- 帮你全搞定！",,,,,,
"评价：MOOK 越来越喜欢了 早知就不用上大学了 感谢老师们！""",,,,,,
"6001-浙江大学-翁恺	C语言程序设计进阶	""概述：C语言有许多独特的地方。从1970年代诞生起，它的历史使命就是编写系统程序，它被设计成非常贴近底层、贴近硬件。它的很多独特的设计都是为了能够准确地反映硬件操作。但是历史又和C语言开了一个玩笑，它被当作了第一个通用型语言，曾经广泛地用于各种场合，解决各种问题。它有哪些神秘之处呢？",,,,,,
评价：感觉逻辑清晰,老师讲的很有代入感,"当然 希望这么好的课程 不!要!下!线!啊!""",,,,
